train_number,train_name,source_station,destination_station,route,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,delay_minutes,train_type,date,season,delay_category,day_of_week,month,travel_duration_hours,year_month
24621,Jan Shatabdi Express,New Delhi,Agra Cantt,New Delhi → Agra Cantt,2025-02-26 19:30:00,2025-02-26 19:33:00,2025-02-27 05:45:00,2025-02-27 05:51:00,3,Express,2025-02-26,Winter,On-Time,Wednesday,2,10.25,2025-02
52487,Intercity Superfast,Kanpur Central,Lucknow Charbagh,Kanpur Central → Lucknow Charbagh,2025-03-10 10:55:00,2025-03-10 11:00:00,2025-03-10 20:39:00,2025-03-10 20:42:00,5,Superfast,2025-03-10,Summer,On-Time,Monday,3,9.73,2025-03
19305,Humsafar Passenger,New Delhi,Lucknow Charbagh,New Delhi → Lucknow Charbagh,2024-10-26 06:35:00,2024-10-26 06:45:00,2024-10-27 06:47:00,2024-10-27 07:04:00,10,Passenger,2024-10-26,Post-Monsoon,Minor Delay,Saturday,10,24.2,2024-10
73653,Garib Rath Passenger,Jaipur Junction,Ahmedabad Junction,Jaipur Junction → Ahmedabad Junction,2024-10-14 12:05:00,2024-10-14 12:09:00,2024-10-14 23:03:00,2024-10-14 23:16:00,4,Passenger,2024-10-14,Post-Monsoon,On-Time,Monday,10,10.97,2024-10
22156,Kisan Express,Chandigarh,New Delhi,Chandigarh → New Delhi,2025-04-03 18:20:00,2025-04-03 18:31:00,2025-04-04 07:59:00,2025-04-04 08:17:00,11,Express,2025-04-03,Summer,Minor Delay,Thursday,4,13.65,2025-04
51245,Duronto Passenger,Chandigarh,New Delhi,Chandigarh → New Delhi,2024-10-22 14:40:00,2024-10-22 14:52:00,2024-10-23 14:20:00,2024-10-23 14:29:00,12,Passenger,2024-10-22,Post-Monsoon,Minor Delay,Tuesday,10,23.67,2024-10
98696,Gatimaan Express,Secunderabad,Vijayawada Junction,Secunderabad → Vijayawada Junction,2025-12-01 18:10:00,2025-12-01 18:11:00,2025-12-02 07:16:00,2025-12-02 07:17:00,1,Express,2025-12-01,Winter,On-Time,Monday,12,13.1,2025-12
30730,Shatabdi Passenger,Kanpur Central,Lucknow Charbagh,Kanpur Central → Lucknow Charbagh,2024-06-24 13:15:00,2024-06-24 13:18:00,2024-06-25 10:38:00,2024-06-25 10:45:00,3,Passenger,2024-06-24,Monsoon,On-Time,Monday,6,21.38,2024-06
28131,AC Express Superfast,Ranchi,Kolkata Howrah,Ranchi → Kolkata Howrah,2024-12-01 18:00:00,2024-12-01 18:04:00,2024-12-01 22:30:00,2024-12-01 22:41:00,4,Superfast,2024-12-01,Winter,On-Time,Sunday,12,4.5,2024-12
41195,Humsafar Superfast,Chennai Central,Bengaluru City,Chennai Central → Bengaluru City,2024-02-21 08:10:00,2024-02-21 08:30:00,2024-02-21 11:04:00,2024-02-21 11:28:00,20,Superfast,2024-02-21,Winter,Minor Delay,Wednesday,2,2.9,2024-02
83000,AC Express Passenger,Lucknow Charbagh,Kanpur Central,Lucknow Charbagh → Kanpur Central,2025-12-20 15:55:00,2025-12-20 16:02:00,2025-12-21 07:37:00,2025-12-21 07:50:00,7,Passenger,2025-12-20,Winter,Minor Delay,Saturday,12,15.7,2025-12
31174,Humsafar Express,Bengaluru City,Mysuru Junction,Bengaluru City → Mysuru Junction,2024-10-10 06:30:00,2024-10-10 06:43:00,2024-10-10 15:58:00,2024-10-10 16:16:00,13,Express,2024-10-10,Post-Monsoon,Minor Delay,Thursday,10,9.47,2024-10
40495,Superfast Express,Madurai Junction,Chennai Central,Madurai Junction → Chennai Central,2025-01-24 05:50:00,2025-01-24 06:20:00,2025-01-24 23:21:00,2025-01-24 23:58:00,30,Express,2025-01-24,Winter,Major Delay,Friday,1,17.52,2025-01
62296,Shatabdi Express,Mumbai Central,New Delhi,Mumbai Central → New Delhi,2025-02-07 11:30:00,2025-02-07 11:32:00,2025-02-07 18:15:00,2025-02-07 18:15:00,2,Express,2025-02-07,Winter,On-Time,Friday,2,6.75,2025-02
70637,Garib Rath Express,New Delhi,Varanasi Junction,New Delhi → Varanasi Junction,2025-04-21 09:05:00,2025-04-21 09:06:00,2025-04-22 02:56:00,2025-04-22 03:06:00,1,Express,2025-04-21,Summer,On-Time,Monday,4,17.85,2025-04
77391,Superfast Superfast,Hyderabad Deccan,Bengaluru City,Hyderabad Deccan → Bengaluru City,2024-07-03 12:25:00,2024-07-03 13:30:00,2024-07-03 18:01:00,2024-07-03 19:08:00,65,Superfast,2024-07-03,Monsoon,Major Delay,Wednesday,7,5.6,2024-07
74042,Humsafar Passenger,Chennai Central,Madurai Junction,Chennai Central → Madurai Junction,2025-06-29 06:35:00,2025-06-29 06:52:00,2025-06-30 05:57:00,2025-06-30 06:14:00,17,Passenger,2025-06-29,Monsoon,Minor Delay,Sunday,6,23.37,2025-06
80644,Humsafar Express,Mumbai Central,Pune Junction,Mumbai Central → Pune Junction,2024-05-30 09:20:00,2024-05-30 09:20:00,2024-05-30 20:45:00,2024-05-30 20:55:00,0,Express,2024-05-30,Summer,On-Time,Thursday,5,11.42,2024-05
86484,Kisan Passenger,Mumbai Central,Ahmedabad Junction,Mumbai Central → Ahmedabad Junction,2024-05-30 05:00:00,2024-05-30 05:05:00,2024-05-30 18:30:00,2024-05-30 18:32:00,5,Passenger,2024-05-30,Summer,On-Time,Thursday,5,13.5,2024-05
98039,Intercity Passenger,New Delhi,Chennai Central,New Delhi → Chennai Central,2024-06-30 10:25:00,2024-06-30 11:10:00,2024-07-01 07:54:00,2024-07-01 08:44:00,45,Passenger,2024-06-30,Monsoon,Major Delay,Sunday,6,21.48,2024-06
26361,AC Express Passenger,Pune Junction,Mumbai Central,Pune Junction → Mumbai Central,2025-09-05 05:35:00,2025-09-05 05:42:00,2025-09-06 00:04:00,2025-09-06 00:19:00,7,Passenger,2025-09-05,Post-Monsoon,Minor Delay,Friday,9,18.48,2025-09
19358,Uday Express,Bengaluru City,Hyderabad Deccan,Bengaluru City → Hyderabad Deccan,2025-08-11 19:55:00,2025-08-11 20:03:00,2025-08-12 13:10:00,2025-08-12 13:14:00,8,Express,2025-08-11,Monsoon,Minor Delay,Monday,8,17.25,2025-08
14165,Sampark Kranti Passenger,New Delhi,Guwahati,New Delhi → Guwahati,2024-07-01 15:45:00,2024-07-01 16:26:00,2024-07-01 23:26:00,2024-07-02 00:11:00,41,Passenger,2024-07-01,Monsoon,Major Delay,Monday,7,7.68,2024-07
84847,Antyodaya Passenger,New Delhi,Mumbai Central,New Delhi → Mumbai Central,2025-12-28 14:25:00,2025-12-28 14:36:00,2025-12-29 08:03:00,2025-12-29 08:18:00,11,Passenger,2025-12-28,Winter,Minor Delay,Sunday,12,17.63,2025-12
70142,Mail Superfast,New Delhi,Chennai Central,New Delhi → Chennai Central,2024-12-31 20:15:00,2024-12-31 20:21:00,2024-12-31 23:16:00,2024-12-31 23:28:00,6,Superfast,2024-12-31,Winter,Minor Delay,Tuesday,12,3.02,2024-12
31174,Superfast Passenger,Bengaluru City,Hyderabad Deccan,Bengaluru City → Hyderabad Deccan,2025-10-01 06:45:00,2025-10-01 06:52:00,2025-10-01 19:48:00,2025-10-01 19:58:00,7,Passenger,2025-10-01,Post-Monsoon,Minor Delay,Wednesday,10,13.05,2025-10
98696,Tejas Passenger,New Delhi,Lucknow Charbagh,New Delhi → Lucknow Charbagh,2024-08-29 19:10:00,2024-08-29 19:53:00,2024-08-30 04:36:00,2024-08-30 05:19:00,43,Passenger,2024-08-29,Monsoon,Major Delay,Thursday,8,9.43,2024-08
96673,AC Express Express,New Delhi,Chennai Central,New Delhi → Chennai Central,2025-02-25 22:15:00,2025-02-25 22:31:00,2025-02-26 13:13:00,2025-02-26 13:24:00,16,Express,2025-02-25,Winter,Minor Delay,Tuesday,2,14.97,2025-02
76784,AC Express Express,Ranchi,Kolkata Howrah,Ranchi → Kolkata Howrah,2025-08-04 19:40:00,2025-08-04 19:58:00,2025-08-05 04:49:00,2025-08-05 05:10:00,18,Express,2025-08-04,Monsoon,Minor Delay,Monday,8,9.15,2025-08
42742,Sampark Kranti Express,Kolkata Howrah,Patna Junction,Kolkata Howrah → Patna Junction,2025-02-09 12:20:00,2025-02-09 12:22:00,2025-02-10 04:30:00,2025-02-10 04:38:00,2,Express,2025-02-09,Winter,On-Time,Sunday,2,16.17,2025-02
38657,Jan Shatabdi Express,Pune Junction,Secunderabad,Pune Junction → Secunderabad,2025-09-18 12:50:00,2025-09-18 12:53:00,2025-09-19 01:56:00,2025-09-19 02:09:00,3,Express,2025-09-18,Post-Monsoon,On-Time,Thursday,9,13.1,2025-09
97841,Vande Bharat Passenger,Kolkata Howrah,Bhubaneswar,Kolkata Howrah → Bhubaneswar,2025-01-24 05:40:00,2025-01-24 06:34:00,2025-01-24 19:53:00,2025-01-24 20:57:00,54,Passenger,2025-01-24,Winter,Major Delay,Friday,1,14.22,2025-01
68082,Rajdhani Superfast,Kolkata Howrah,Ranchi,Kolkata Howrah → Ranchi,2024-05-21 12:40:00,2024-05-21 12:44:00,2024-05-21 22:18:00,2024-05-21 22:26:00,4,Superfast,2024-05-21,Summer,On-Time,Tuesday,5,9.63,2024-05
64987,Humsafar Express,Kolkata Howrah,Ranchi,Kolkata Howrah → Ranchi,2024-08-12 09:10:00,2024-08-12 09:54:00,2024-08-13 00:38:00,2024-08-13 01:32:00,44,Express,2024-08-12,Monsoon,Major Delay,Monday,8,15.47,2024-08
99593,Jan Shatabdi Express,New Delhi,Agra Cantt,New Delhi → Agra Cantt,2024-08-13 20:05:00,2024-08-13 21:00:00,2024-08-14 07:44:00,2024-08-14 08:34:00,55,Express,2024-08-13,Monsoon,Major Delay,Tuesday,8,11.65,2024-08
28289,Humsafar Passenger,Bengaluru City,Mumbai Central,Bengaluru City → Mumbai Central,2025-09-29 08:40:00,2025-09-29 08:41:00,2025-09-29 22:45:00,2025-09-29 22:45:00,1,Passenger,2025-09-29,Post-Monsoon,On-Time,Monday,9,14.08,2025-09
46509,Jan Shatabdi Superfast,Chennai Central,Madurai Junction,Chennai Central → Madurai Junction,2025-02-07 21:15:00,2025-02-07 21:18:00,2025-02-08 01:03:00,2025-02-08 01:04:00,3,Superfast,2025-02-07,Winter,On-Time,Friday,2,3.8,2025-02
65444,Shatabdi Express,New Delhi,Mumbai Central,New Delhi → Mumbai Central,2025-09-11 07:30:00,2025-09-11 07:33:00,2025-09-11 22:28:00,2025-09-11 22:37:00,3,Express,2025-09-11,Post-Monsoon,On-Time,Thursday,9,14.97,2025-09
62565,Vande Bharat Express,Pune Junction,Secunderabad,Pune Junction → Secunderabad,2024-06-21 05:25:00,2024-06-21 05:27:00,2024-06-21 13:15:00,2024-06-21 13:19:00,2,Express,2024-06-21,Monsoon,On-Time,Friday,6,7.83,2024-06
22899,Tejas Express,Lucknow Charbagh,Patna Junction,Lucknow Charbagh → Patna Junction,2024-08-04 21:55:00,2024-08-04 22:31:00,2024-08-05 13:32:00,2024-08-05 14:04:00,36,Express,2024-08-04,Monsoon,Major Delay,Sunday,8,15.62,2024-08
48427,Rajdhani Express,Chennai Central,Hyderabad Deccan,Chennai Central → Hyderabad Deccan,2025-08-08 11:35:00,2025-08-08 11:52:00,2025-08-09 04:51:00,2025-08-09 05:16:00,17,Express,2025-08-08,Monsoon,Minor Delay,Friday,8,17.27,2025-08
69638,Express Express,Mumbai Central,New Delhi,Mumbai Central → New Delhi,2024-03-26 14:30:00,2024-03-26 14:50:00,2024-03-26 18:35:00,2024-03-26 18:56:00,20,Express,2024-03-26,Summer,Minor Delay,Tuesday,3,4.08,2024-03
21915,Rajdhani Express,Hyderabad Deccan,Chennai Central,Hyderabad Deccan → Chennai Central,2025-11-22 13:35:00,2025-11-22 13:41:00,2025-11-22 18:22:00,2025-11-22 18:26:00,6,Express,2025-11-22,Post-Monsoon,Minor Delay,Saturday,11,4.78,2025-11
92397,Passenger Express,Chennai Central,Madurai Junction,Chennai Central → Madurai Junction,2024-06-29 05:25:00,2024-06-29 05:29:00,2024-06-29 09:34:00,2024-06-29 09:44:00,4,Express,2024-06-29,Monsoon,On-Time,Saturday,6,4.15,2024-06
59797,Gatimaan Passenger,Ahmedabad Junction,Jaipur Junction,Ahmedabad Junction → Jaipur Junction,2025-09-11 20:55:00,2025-09-11 21:02:00,2025-09-12 14:06:00,2025-09-12 14:20:00,7,Passenger,2025-09-11,Post-Monsoon,Minor Delay,Thursday,9,17.18,2025-09
10074,Humsafar Express,Mumbai Central,Pune Junction,Mumbai Central → Pune Junction,2025-10-31 22:35:00,2025-10-31 22:48:00,2025-11-01 13:50:00,2025-11-01 13:59:00,13,Express,2025-10-31,Post-Monsoon,Minor Delay,Friday,10,15.25,2025-10
23238,Gatimaan Express,Jaipur Junction,Ahmedabad Junction,Jaipur Junction → Ahmedabad Junction,2024-01-05 08:20:00,2024-01-05 08:21:00,2024-01-05 20:59:00,2024-01-05 21:08:00,1,Express,2024-01-05,Winter,On-Time,Friday,1,12.65,2024-01
69638,Vande Bharat Express,New Delhi,Mumbai Central,New Delhi → Mumbai Central,2024-02-22 06:10:00,2024-02-22 06:48:00,2024-02-22 20:49:00,2024-02-22 21:22:00,38,Express,2024-02-22,Winter,Major Delay,Thursday,2,14.65,2024-02
89818,Mail Passenger,New Delhi,Lucknow Charbagh,New Delhi → Lucknow Charbagh,2024-05-28 19:30:00,2024-05-28 19:30:00,2024-05-29 17:56:00,2024-05-29 17:56:00,0,Passenger,2024-05-28,Summer,On-Time,Tuesday,5,22.43,2024-05
66155,AC Express Superfast,New Delhi,Amritsar Junction,New Delhi → Amritsar Junction,2025-06-23 11:55:00,2025-06-23 12:13:00,2025-06-23 18:19:00,2025-06-23 18:44:00,18,Superfast,2025-06-23,Monsoon,Minor Delay,Monday,6,6.4,2025-06
77839,Vande Bharat Superfast,Mumbai Central,Pune Junction,Mumbai Central → Pune Junction,2025-11-11 21:25:00,2025-11-11 21:28:00,2025-11-12 00:49:00,2025-11-12 01:01:00,3,Superfast,2025-11-11,Post-Monsoon,On-Time,Tuesday,11,3.4,2025-11
46048,Express Express,Lucknow Charbagh,New Delhi,Lucknow Charbagh → New Delhi,2024-08-31 18:55:00,2024-08-31 19:00:00,2024-09-01 02:23:00,2024-09-01 02:31:00,5,Express,2024-08-31,Monsoon,On-Time,Saturday,8,7.47,2024-08
31174,Intercity Express,Kolkata Howrah,Patna Junction,Kolkata Howrah → Patna Junction,2024-08-17 22:00:00,2024-08-17 22:13:00,2024-08-18 04:37:00,2024-08-18 04:54:00,13,Express,2024-08-17,Monsoon,Minor Delay,Saturday,8,6.62,2024-08
55082,Jan Shatabdi Passenger,Ernakulam Junction,Chennai Central,Ernakulam Junction → Chennai Central,2025-02-07 07:45:00,2025-02-07 07:49:00,2025-02-08 07:48:00,2025-02-08 08:00:00,4,Passenger,2025-02-07,Winter,On-Time,Friday,2,24.05,2025-02
69429,Vivek Passenger,Agra Cantt,New Delhi,Agra Cantt → New Delhi,2024-10-08 14:55:00,2024-10-08 15:07:00,2024-10-09 09:37:00,2024-10-09 09:56:00,12,Passenger,2024-10-08,Post-Monsoon,Minor Delay,Tuesday,10,18.7,2024-10
88172,Shatabdi Passenger,New Delhi,Lucknow Charbagh,New Delhi → Lucknow Charbagh,2024-02-22 07:50:00,2024-02-22 08:06:00,2024-02-23 03:43:00,2024-02-23 04:02:00,11,Passenger,2024-02-22,Winter,Minor Delay,Thursday,2,19.88,2024-02
23396,Gatimaan Express,New Delhi,Dehradun,New Delhi → Dehradun,2024-06-30 05:10:00,2024-06-30 05:27:00,2024-06-30 11:28:00,2024-06-30 11:43:00,17,Express,2024-06-30,Monsoon,Minor Delay,Sunday,6,6.3,2024-06
37760,Humsafar Express,Kolkata Howrah,Ranchi,Kolkata Howrah → Ranchi,2025-09-26 14:40:00,2025-09-26 14:40:00,2025-09-26 22:34:00,2025-09-26 22:34:00,0,Express,2025-09-26,Post-Monsoon,On-Time,Friday,9,7.9,2025-09
60432,Rajdhani Passenger,New Delhi,Varanasi Junction,New Delhi → Varanasi Junction,2025-12-16 14:00:00,2025-12-16 14:15:00,2025-12-17 01:52:00,2025-12-17 02:17:00,15,Passenger,2025-12-16,Winter,Minor Delay,Tuesday,12,11.87,2025-12
35112,Superfast Passenger,New Delhi,Jaipur Junction,New Delhi → Jaipur Junction,2024-10-29 06:15:00,2024-10-29 06:34:00,2024-10-30 03:39:00,2024-10-30 03:56:00,19,Passenger,2024-10-29,Post-Monsoon,Minor Delay,Tuesday,10,21.4,2024-10
96474,Garib Rath Express,Chennai Central,Madurai Junction,Chennai Central → Madurai Junction,2024-12-11 11:30:00,2024-12-11 11:36:00,2024-12-11 18:23:00,2024-12-11 18:28:00,6,Express,2024-12-11,Winter,Minor Delay,Wednesday,12,6.88,2024-12
79352,Sampark Kranti Express,New Delhi,Kolkata Howrah,New Delhi → Kolkata Howrah,2025-08-18 10:55:00,2025-08-18 11:07:00,2025-08-18 21:03:00,2025-08-18 21:22:00,12,Express,2025-08-18,Monsoon,Minor Delay,Monday,8,10.13,2025-08
86622,Sampark Kranti Express,Ahmedabad Junction,Mumbai Central,Ahmedabad Junction → Mumbai Central,2024-06-11 21:10:00,2024-06-11 21:18:00,2024-06-12 07:40:00,2024-06-12 07:49:00,8,Express,2024-06-11,Monsoon,Minor Delay,Tuesday,6,10.5,2024-06
38657,Garib Rath Superfast,Chennai Central,Madurai Junction,Chennai Central → Madurai Junction,2025-05-13 05:15:00,2025-05-13 05:34:00,2025-05-13 11:23:00,2025-05-13 11:47:00,19,Superfast,2025-05-13,Summer,Minor Delay,Tuesday,5,6.13,2025-05
65444,Express Express,Lucknow Charbagh,Kanpur Central,Lucknow Charbagh → Kanpur Central,2025-10-06 08:00:00,2025-10-06 08:00:00,2025-10-06 21:58:00,2025-10-06 21:59:00,0,Express,2025-10-06,Post-Monsoon,On-Time,Monday,10,13.97,2025-10
94259,Humsafar Express,Lucknow Charbagh,Patna Junction,Lucknow Charbagh → Patna Junction,2025-02-14 11:40:00,2025-02-14 12:01:00,2025-02-15 06:30:00,2025-02-15 06:58:00,21,Express,2025-02-14,Winter,Major Delay,Friday,2,18.83,2025-02
30033,Shatabdi Express,Kolkata Howrah,Ranchi,Kolkata Howrah → Ranchi,2024-04-07 13:55:00,2024-04-07 14:24:00,2024-04-07 21:55:00,2024-04-07 22:19:00,29,Express,2024-04-07,Summer,Major Delay,Sunday,4,8.0,2024-04
70637,Kisan Express,Kolkata Howrah,Bhubaneswar,Kolkata Howrah → Bhubaneswar,2025-11-09 05:05:00,2025-11-09 05:40:00,2025-11-09 19:32:00,2025-11-09 20:06:00,35,Express,2025-11-09,Post-Monsoon,Major Delay,Sunday,11,14.45,2025-11
73092,Tejas Express,Nagpur Junction,Mumbai Central,Nagpur Junction → Mumbai Central,2024-03-04 19:25:00,2024-03-04 19:27:00,2024-03-05 05:08:00,2024-03-05 05:08:00,2,Express,2024-03-04,Summer,On-Time,Monday,3,9.72,2024-03
88104,Tejas Superfast,Dehradun,New Delhi,Dehradun → New Delhi,2024-07-08 17:50:00,2024-07-08 18:24:00,2024-07-09 01:11:00,2024-07-09 01:54:00,34,Superfast,2024-07-08,Monsoon,Major Delay,Monday,7,7.35,2024-07
89131,Garib Rath Express,Chennai Central,Bengaluru City,Chennai Central → Bengaluru City,2025-07-28 22:15:00,2025-07-28 22:27:00,2025-07-29 13:56:00,2025-07-29 14:10:00,12,Express,2025-07-28,Monsoon,Minor Delay,Monday,7,15.68,2025-07
46500,Mail Superfast,New Delhi,Lucknow Charbagh,New Delhi → Lucknow Charbagh,2025-07-27 13:45:00,2025-07-27 14:32:00,2025-07-27 21:23:00,2025-07-27 22:07:00,47,Superfast,2025-07-27,Monsoon,Major Delay,Sunday,7,7.63,2025-07
95477,Express Express,New Delhi,Lucknow Charbagh,New Delhi → Lucknow Charbagh,2025-09-19 15:25:00,2025-09-19 15:30:00,2025-09-19 21:56:00,2025-09-19 22:09:00,5,Express,2025-09-19,Post-Monsoon,On-Time,Friday,9,6.52,2025-09
44718,Express Express,New Delhi,Dehradun,New Delhi → Dehradun,2024-04-03 22:55:00,2024-04-03 23:20:00,2024-04-04 14:57:00,2024-04-04 15:18:00,25,Express,2024-04-03,Summer,Major Delay,Wednesday,4,16.03,2024-04
54587,Superfast Passenger,New Delhi,Kolkata Howrah,New Delhi → Kolkata Howrah,2025-12-09 14:45:00,2025-12-09 14:52:00,2025-12-10 09:10:00,2025-12-10 09:17:00,7,Passenger,2025-12-09,Winter,Minor Delay,Tuesday,12,18.42,2025-12
80678,Vivek Passenger,New Delhi,Amritsar Junction,New Delhi → Amritsar Junction,2024-04-17 17:10:00,2024-04-17 17:35:00,2024-04-18 10:53:00,2024-04-18 11:14:00,11,Passenger,2024-04-17,Summer,Minor Delay,Wednesday,4,17.72,2024-04
40021,Jan Shatabdi Passenger,Jaipur Junction,Ahmedabad Junction,Jaipur Junction → Ahmedabad Junction,2024-04-11 10:30:00,2024-04-11 10:34:00,2024-04-12 10:10:00,2024-04-12 10:11:00,4,Passenger,2024-04-11,Summer,On-Time,Thursday,4,23.67,2024-04
22899,Shatabdi Express,Kanpur Central,Lucknow Charbagh,Kanpur Central → Lucknow Charbagh,2024-11-10 18:50:00,2024-11-10 18:50:00,2024-11-11 01:50:00,2024-11-11 01:58:00,0,Express,2024-11-10,Post-Monsoon,On-Time,Sunday,11,7.0,2024-11
52504,Antyodaya Superfast,Mumbai Central,Pune Junction,Mumbai Central → Pune Junction,2025-03-04 16:00:00,2025-03-04 16:02:00,2025-03-05 02:13:00,2025-03-05 02:23:00,2,Superfast,2025-03-04,Summer,On-Time,Tuesday,3,10.22,2025-03
73092,Duronto Superfast,Mumbai Central,Pune Junction,Mumbai Central → Pune Junction,2025-12-20 20:15:00,2025-12-20 20:23:00,2025-12-20 22:33:00,2025-12-20 22:47:00,10,Superfast,2025-12-20,Winter,Minor Delay,Saturday,12,2.3,2025-12
41850,Express Express,Bengaluru City,Hyderabad Deccan,Bengaluru City → Hyderabad Deccan,2025-02-26 14:00:00,2025-02-26 14:10:00,2025-02-27 01:56:00,2025-02-27 02:02:00,10,Express,2025-02-26,Winter,Minor Delay,Wednesday,2,11.93,2025-02
19071,Vande Bharat Superfast,Varanasi Junction,New Delhi,Varanasi Junction → New Delhi,2024-03-20 14:05:00,2024-03-20 14:41:00,2024-03-20 18:21:00,2024-03-20 18:58:00,36,Superfast,2024-03-20,Summer,Major Delay,Wednesday,3,4.27,2024-03
79352,Gatimaan Passenger,Kolkata Howrah,Bhubaneswar,Kolkata Howrah → Bhubaneswar,2024-03-02 13:20:00,2024-03-02 13:39:00,2024-03-03 00:48:00,2024-03-03 01:04:00,19,Passenger,2024-03-02,Summer,Minor Delay,Saturday,3,11.47,2024-03
42953,Rajdhani Superfast,Jaipur Junction,Ahmedabad Junction,Jaipur Junction → Ahmedabad Junction,2025-05-30 10:40:00,2025-05-30 10:46:00,2025-05-30 22:00:00,2025-05-30 22:09:00,6,Superfast,2025-05-30,Summer,Minor Delay,Friday,5,11.33,2025-05
35112,Shatabdi Express,New Delhi,Mumbai Central,New Delhi → Mumbai Central,2025-01-13 18:25:00,2025-01-13 19:38:00,2025-01-14 01:28:00,2025-01-14 02:36:00,73,Express,2025-01-13,Winter,Major Delay,Monday,1,7.05,2025-01
99353,Superfast Passenger,Bengaluru City,Chennai Central,Bengaluru City → Chennai Central,2024-04-06 10:40:00,2024-04-06 11:14:00,2024-04-07 08:27:00,2024-04-07 09:05:00,34,Passenger,2024-04-06,Summer,Major Delay,Saturday,4,21.78,2024-04
10282,Shatabdi Express,Mysuru Junction,Bengaluru City,Mysuru Junction → Bengaluru City,2024-03-31 05:10:00,2024-03-31 05:12:00,2024-03-31 19:41:00,2024-03-31 19:51:00,2,Express,2024-03-31,Summer,On-Time,Sunday,3,14.52,2024-03
74042,Vivek Express,New Delhi,Chandigarh,New Delhi → Chandigarh,2024-09-18 06:45:00,2024-09-18 06:45:00,2024-09-18 23:49:00,2024-09-18 23:55:00,0,Express,2024-09-18,Post-Monsoon,On-Time,Wednesday,9,17.07,2024-09
31174,Gatimaan Passenger,Mumbai Central,Bengaluru City,Mumbai Central → Bengaluru City,2025-04-12 14:55:00,2025-04-12 16:02:00,2025-04-12 23:37:00,2025-04-13 00:43:00,67,Passenger,2025-04-12,Summer,Major Delay,Saturday,4,8.7,2025-04
28289,Superfast Express,Jaipur Junction,Ahmedabad Junction,Jaipur Junction → Ahmedabad Junction,2024-06-02 10:00:00,2024-06-02 10:00:00,2024-06-02 22:51:00,2024-06-02 22:59:00,0,Express,2024-06-02,Monsoon,On-Time,Sunday,6,12.85,2024-06
