train_number,train_name,source_station,destination_station,route,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,delay_minutes,train_type,date,season
89840,Humsafar Express,New Delhi,Amritsar Junction,New Delhi → Amritsar Junction,2024-12-23 12:15:00,2024-12-23 12:55:00,2024-12-24 02:36:00,2024-12-24 03:21:00,40.0,Express,2024-12-23,Winter
17944,Sampark Kranti Express,Kanpur Central,Lucknow Charbagh,Kanpur Central → Lucknow Charbagh,2025-06-05 16:35:00,2025-06-05 16:37:00,2025-06-06 05:04:00,2025-06-06 05:06:00,2.0,Express,2025-06-05,Monsoon
22704,Intercity Express,Ernakulam Junction,Chennai Central,Ernakulam Junction → Chennai Central,2024-10-11 13:10:00,2024-10-11 13:12:00,2024-10-12 02:27:00,2024-10-12 02:32:00,2.0,Express,2024-10-11,Post-Monsoon
40495,Gatimaan Superfast,Chennai Central,Bengaluru City,Chennai Central → Bengaluru City,2025-04-12 11:05:00,2025-04-12 11:05:00,2025-04-12 23:52:00,2025-04-12 23:52:00,0.0,Superfast,2025-04-12,Summer
38785,Duronto Express,New Delhi,Agra Cantt,New Delhi → Agra Cantt,2024-05-05 06:10:00,2024-05-05 06:11:00,2024-05-05 19:23:00,2024-05-05 19:24:00,1.0,Express,2024-05-05,Summer
84341,Kisan Passenger,New Delhi,Lucknow Charbagh,New Delhi → Lucknow Charbagh,2024-11-30 13:30:00,2024-11-30 13:35:00,2024-11-30 23:11:00,2024-11-30 23:20:00,5.0,Passenger,2024-11-30,Post-Monsoon
38657,Kisan Superfast,Mumbai Central,Pune Junction,Mumbai Central → Pune Junction,2024-01-17 12:15:00,2024-01-17 12:56:00,2024-01-17 15:21:00,2024-01-17 15:58:00,41.0,Superfast,2024-01-17,Winter
60019,Vande Bharat Express,Patna Junction,Kolkata Howrah,Patna Junction → Kolkata Howrah,2024-03-11 13:30:00,2024-03-11 13:30:00,2024-03-11 18:49:00,2024-03-11 18:58:00,0.0,Express,2024-03-11,Summer
55082,Jan Shatabdi Passenger,Ernakulam Junction,Chennai Central,Ernakulam Junction → Chennai Central,2025-02-07 07:45:00,2025-02-07 07:49:00,2025-02-08 07:48:00,2025-02-08 08:00:00,4.0,Passenger,2025-02-07,Winter
15695,Kisan Passenger,Chennai Central,Madurai Junction,Chennai Central → Madurai Junction,2025-08-19 16:25:00,2025-08-19 17:24:00,2025-08-20 06:39:00,2025-08-20 07:39:00,59.0,Passenger,2025-08-19,Monsoon
81426,Antyodaya Passenger,New Delhi,Guwahati,New Delhi → Guwahati,2024-02-19 08:30:00,2024-02-19 09:12:00,2024-02-20 04:54:00,2024-02-20 05:34:00,42.0,Passenger,2024-02-19,Winter
56438,Shatabdi Passenger,Chennai Central,Ernakulam Junction,Chennai Central → Ernakulam Junction,2024-12-26 22:40:00,2024-12-26 22:54:00,2024-12-27 11:24:00,2024-12-27 11:36:00,14.0,Passenger,2024-12-26,Winter
45093,Kisan Express,Chennai Central,Hyderabad Deccan,Chennai Central → Hyderabad Deccan,2025-02-09 15:45:00,2025-02-09 15:45:00,2025-02-10 02:36:00,2025-02-10 02:41:00,0.0,Express,2025-02-09,Winter
73699,Vivek Express,Varanasi Junction,New Delhi,Varanasi Junction → New Delhi,2025-08-28 05:05:00,2025-08-28 05:09:00,2025-08-28 18:18:00,2025-08-28 18:27:00,4.0,Express,2025-08-28,Monsoon
28726,Vande Bharat Express,Mumbai Central,Ahmedabad Junction,Mumbai Central → Ahmedabad Junction,2025-07-26 21:40:00,2025-07-26 21:52:00,2025-07-27 13:15:00,2025-07-27 13:25:00,12.0,Express,2025-07-26,Monsoon
97841,Jan Shatabdi Express,Lucknow Charbagh,Patna Junction,Lucknow Charbagh → Patna Junction,2024-12-24 14:50:00,2024-12-24 14:52:00,2024-12-25 06:32:00,2024-12-25 06:41:00,2.0,Express,2024-12-24,Winter
94259,Uday Express,Kolkata Howrah,New Delhi,Kolkata Howrah → New Delhi,2025-08-10 17:15:00,2025-08-10 17:24:00,2025-08-11 07:02:00,2025-08-11 07:08:00,9.0,Express,2025-08-10,Monsoon
88172,Tejas Passenger,Bengaluru City,Mumbai Central,Bengaluru City → Mumbai Central,2025-04-20 17:35:00,2025-04-20 17:37:00,2025-04-21 09:05:00,2025-04-21 09:09:00,2.0,Passenger,2025-04-20,Summer
99733,Gatimaan Superfast,New Delhi,Varanasi Junction,New Delhi → Varanasi Junction,2025-02-11 12:45:00,2025-02-11 13:09:00,2025-02-11 16:48:00,2025-02-11 17:20:00,24.0,Superfast,2025-02-11,Winter
88504,Sampark Kranti Superfast,Mysuru Junction,Bengaluru City,Mysuru Junction → Bengaluru City,2025-01-04 17:30:00,2025-01-04 17:46:00,2025-01-05 04:33:00,2025-01-05 04:55:00,16.0,Superfast,2025-01-04,Winter
32431,Rajdhani Express,New Delhi,Jaipur Junction,New Delhi → Jaipur Junction,2025-10-02 16:20:00,2025-10-02 16:27:00,2025-10-03 05:40:00,2025-10-03 05:42:00,7.0,Express,2025-10-02,Post-Monsoon
65444,Humsafar Express,New Delhi,Chandigarh,New Delhi → Chandigarh,2025-06-13 17:35:00,2025-06-13 17:39:00,2025-06-14 07:32:00,2025-06-14 07:36:00,4.0,Express,2025-06-13,Monsoon
73624,Kisan Passenger,Agra Cantt,New Delhi,Agra Cantt → New Delhi,2024-01-10 19:20:00,2024-01-10 19:46:00,2024-01-11 18:30:00,2024-01-11 18:53:00,26.0,Passenger,2024-01-10,Winter
41195,Humsafar Express,Mumbai Central,Bengaluru City,Mumbai Central → Bengaluru City,2025-03-31 18:25:00,2025-03-31 18:29:00,2025-03-31 23:47:00,2025-03-31 23:48:00,4.0,Express,2025-03-31,Summer
23396,Antyodaya Passenger,Mumbai Central,Ahmedabad Junction,Mumbai Central → Ahmedabad Junction,2025-09-17 21:20:00,2025-09-17 21:33:00,2025-09-18 15:59:00,2025-09-18 16:08:00,13.0,Passenger,2025-09-17,Post-Monsoon
19287,Mail Express,Bengaluru City,Hyderabad Deccan,Bengaluru City → Hyderabad Deccan,2024-11-24 05:10:00,2024-11-24 05:10:00,2024-11-24 09:44:00,2024-11-24 09:44:00,0.0,Express,2024-11-24,Post-Monsoon
65519,Gatimaan Passenger,New Delhi,Dehradun,New Delhi → Dehradun,2024-02-13 20:25:00,2024-02-13 20:43:00,2024-02-14 12:56:00,2024-02-14 13:17:00,18.0,Passenger,2024-02-13,Winter
75435,Vivek Express,Jaipur Junction,Ahmedabad Junction,Jaipur Junction → Ahmedabad Junction,2025-01-01 15:30:00,2025-01-01 15:48:00,2025-01-01 22:43:00,2025-01-01 22:58:00,18.0,Express,2025-01-01,Winter
94259,Uday Express,Bengaluru City,Chennai Central,Bengaluru City → Chennai Central,2025-06-27 20:05:00,2025-06-27 21:01:00,2025-06-28 10:24:00,2025-06-28 11:21:00,56.0,Express,2025-06-27,Monsoon
76237,Tejas Express,Lucknow Charbagh,Patna Junction,Lucknow Charbagh → Patna Junction,2024-12-23 07:45:00,2024-12-23 07:45:00,2024-12-24 02:08:00,2024-12-24 02:08:00,0.0,Express,2024-12-23,Winter
30032,Rajdhani Superfast,Bhubaneswar,Kolkata Howrah,Bhubaneswar → Kolkata Howrah,2024-07-07 05:25:00,2024-07-07 05:46:00,2024-07-07 07:29:00,2024-07-07 07:56:00,21.0,Superfast,2024-07-07,Monsoon
52487,Antyodaya Express,New Delhi,Lucknow Charbagh,New Delhi → Lucknow Charbagh,2025-09-17 09:55:00,2025-09-17 10:04:00,2025-09-17 20:23:00,2025-09-17 20:33:00,9.0,Express,2025-09-17,Post-Monsoon
17716,Duronto Express,Bengaluru City,Mysuru Junction,Bengaluru City → Mysuru Junction,2025-05-11 21:25:00,2025-05-11 21:27:00,2025-05-12 14:28:00,2025-05-12 14:30:00,2.0,Express,2025-05-11,Summer
76784,Garib Rath Passenger,Kolkata Howrah,Ranchi,Kolkata Howrah → Ranchi,2025-01-03 11:55:00,2025-01-03 11:58:00,2025-01-03 20:07:00,2025-01-03 20:17:00,3.0,Passenger,2025-01-03,Winter
20322,Jan Shatabdi Superfast,New Delhi,Lucknow Charbagh,New Delhi → Lucknow Charbagh,2025-01-08 12:25:00,2025-01-08 13:27:00,2025-01-08 22:47:00,2025-01-08 23:46:00,62.0,Superfast,2025-01-08,Winter
76237,Rajdhani Express,Lucknow Charbagh,Patna Junction,Lucknow Charbagh → Patna Junction,2024-04-12 19:05:00,2024-04-12 19:22:00,2024-04-13 08:03:00,2024-04-13 08:29:00,17.0,Express,2024-04-12,Summer
75435,Vande Bharat Superfast,New Delhi,Varanasi Junction,New Delhi → Varanasi Junction,2024-05-18 10:40:00,2024-05-18 10:41:00,2024-05-18 19:40:00,2024-05-18 19:46:00,1.0,Superfast,2024-05-18,Summer
18834,Mail Express,Chennai Central,Madurai Junction,Chennai Central → Madurai Junction,2024-05-31 20:05:00,2024-05-31 20:24:00,2024-06-01 07:16:00,2024-06-01 07:44:00,19.0,Express,2024-05-31,Summer
46421,Vande Bharat Superfast,Kolkata Howrah,Ranchi,Kolkata Howrah → Ranchi,2024-10-23 09:15:00,2024-10-23 09:16:00,2024-10-23 19:46:00,2024-10-23 19:48:00,1.0,Superfast,2024-10-23,Post-Monsoon
38657,AC Express Passenger,Mumbai Central,Pune Junction,Mumbai Central → Pune Junction,2025-04-26 17:05:00,2025-04-26 17:05:00,2025-04-27 12:21:00,2025-04-27 12:21:00,0.0,Passenger,2025-04-26,Summer
79163,Passenger Passenger,New Delhi,Guwahati,New Delhi → Guwahati,2024-07-13 14:35:00,2024-07-13 15:02:00,2024-07-14 09:31:00,2024-07-14 10:02:00,27.0,Passenger,2024-07-13,Monsoon
62350,Intercity Express,Hyderabad Deccan,Chennai Central,Hyderabad Deccan → Chennai Central,2024-08-08 09:45:00,2024-08-08 10:11:00,2024-08-08 21:58:00,2024-08-08 22:30:00,26.0,Express,2024-08-08,Monsoon
60432,Rajdhani Passenger,New Delhi,Varanasi Junction,New Delhi → Varanasi Junction,2025-12-16 14:00:00,2025-12-16 14:15:00,2025-12-17 01:52:00,2025-12-17 02:17:00,15.0,Passenger,2025-12-16,Winter
24621,Garib Rath Passenger,New Delhi,Varanasi Junction,New Delhi → Varanasi Junction,2025-10-25 16:00:00,2025-10-25 16:04:00,2025-10-26 15:55:00,2025-10-26 15:58:00,4.0,Passenger,2025-10-25,Post-Monsoon
13278,Rajdhani Passenger,Bhubaneswar,Kolkata Howrah,Bhubaneswar → Kolkata Howrah,2025-02-22 16:50:00,2025-02-22 17:08:00,2025-02-23 03:19:00,2025-02-23 03:40:00,18.0,Passenger,2025-02-22,Winter
19305,Garib Rath Passenger,Agra Cantt,New Delhi,Agra Cantt → New Delhi,2024-12-28 18:00:00,2024-12-28 18:06:00,2024-12-29 11:56:00,2024-12-29 12:03:00,6.0,Passenger,2024-12-28,Winter
55082,Vande Bharat Express,Kolkata Howrah,Bhubaneswar,Kolkata Howrah → Bhubaneswar,2024-12-02 09:50:00,2024-12-02 09:54:00,2024-12-03 01:43:00,2024-12-03 01:44:00,4.0,Express,2024-12-02,Winter
86484,Uday Passenger,Secunderabad,Pune Junction,Secunderabad → Pune Junction,2024-10-09 08:30:00,2024-10-09 08:32:00,2024-10-09 21:30:00,2024-10-09 21:30:00,2.0,Passenger,2024-10-09,Post-Monsoon
54313,Superfast Superfast,New Delhi,Lucknow Charbagh,New Delhi → Lucknow Charbagh,2025-06-18 17:10:00,2025-06-18 17:11:00,2025-06-18 22:35:00,2025-06-18 22:35:00,1.0,Superfast,2025-06-18,Monsoon
79352,Gatimaan Superfast,Chennai Central,Hyderabad Deccan,Chennai Central → Hyderabad Deccan,2024-12-05 20:35:00,2024-12-05 20:47:00,2024-12-06 05:57:00,2024-12-06 06:13:00,12.0,Superfast,2024-12-05,Winter
89507,Jan Shatabdi Superfast,New Delhi,Guwahati,New Delhi → Guwahati,2025-05-13 07:50:00,2025-05-13 08:09:00,2025-05-13 17:37:00,2025-05-13 17:57:00,19.0,Superfast,2025-05-13,Summer
23434,Superfast Express,Ahmedabad Junction,Jaipur Junction,Ahmedabad Junction → Jaipur Junction,2025-06-15 15:25:00,2025-06-15 16:16:00,2025-06-15 22:01:00,2025-06-15 23:00:00,51.0,Express,2025-06-15,Monsoon
89818,Vande Bharat Passenger,New Delhi,Jaipur Junction,New Delhi → Jaipur Junction,2025-01-04 19:05:00,2025-01-04 19:16:00,2025-01-05 05:50:00,2025-01-05 06:09:00,11.0,Passenger,2025-01-04,Winter
19071,AC Express Express,New Delhi,Dehradun,New Delhi → Dehradun,2025-11-21 19:00:00,2025-11-21 19:03:00,2025-11-22 01:39:00,2025-11-22 01:42:00,3.0,Express,2025-11-21,Post-Monsoon
70637,Tejas Superfast,Ahmedabad Junction,Jaipur Junction,Ahmedabad Junction → Jaipur Junction,2024-01-17 06:25:00,2024-01-17 06:28:00,2024-01-17 08:46:00,2024-01-17 08:46:00,3.0,Superfast,2024-01-17,Winter
88104,Vande Bharat Superfast,Ahmedabad Junction,Jaipur Junction,Ahmedabad Junction → Jaipur Junction,2025-01-03 17:30:00,2025-01-03 18:01:00,2025-01-03 22:00:00,2025-01-03 22:40:00,31.0,Superfast,2025-01-03,Winter
83579,Passenger Superfast,New Delhi,Dehradun,New Delhi → Dehradun,2025-07-07 18:15:00,2025-07-07 18:28:00,2025-07-08 00:18:00,2025-07-08 00:38:00,13.0,Superfast,2025-07-07,Monsoon
11504,Humsafar Passenger,Bengaluru City,Mysuru Junction,Bengaluru City → Mysuru Junction,2025-11-06 20:10:00,2025-11-06 20:29:00,2025-11-07 16:44:00,2025-11-07 17:13:00,19.0,Passenger,2025-11-06,Post-Monsoon
52487,Jan Shatabdi Express,Ernakulam Junction,Chennai Central,Ernakulam Junction → Chennai Central,2025-12-02 15:45:00,2025-12-02 16:22:00,2025-12-03 09:38:00,2025-12-03 10:24:00,37.0,Express,2025-12-02,Winter
44671,Shatabdi Superfast,Agra Cantt,New Delhi,Agra Cantt → New Delhi,2024-09-24 12:15:00,2024-09-24 12:35:00,2024-09-24 14:56:00,2024-09-24 15:11:00,20.0,Superfast,2024-09-24,Post-Monsoon
39871,Superfast Express,Ranchi,Kolkata Howrah,Ranchi → Kolkata Howrah,2024-12-02 11:35:00,2024-12-02 11:37:00,2024-12-03 01:25:00,2024-12-03 01:32:00,2.0,Express,2024-12-02,Winter
42087,Shatabdi Express,New Delhi,Lucknow Charbagh,New Delhi → Lucknow Charbagh,2025-08-10 08:15:00,2025-08-10 08:37:00,2025-08-10 23:47:00,2025-08-11 00:04:00,22.0,Express,2025-08-10,Monsoon
57052,Passenger Express,Kolkata Howrah,New Delhi,Kolkata Howrah → New Delhi,2024-07-22 21:30:00,2024-07-22 21:41:00,2024-07-23 04:10:00,2024-07-23 04:16:00,11.0,Express,2024-07-22,Monsoon
23396,Gatimaan Superfast,Jaipur Junction,New Delhi,Jaipur Junction → New Delhi,2024-11-14 07:50:00,2024-11-14 07:59:00,2024-11-14 19:56:00,2024-11-14 20:00:00,9.0,Superfast,2024-11-14,Post-Monsoon
74686,Jan Shatabdi Express,New Delhi,Kolkata Howrah,New Delhi → Kolkata Howrah,2025-08-03 14:15:00,2025-08-03 14:32:00,2025-08-04 02:47:00,2025-08-04 03:04:00,17.0,Express,2025-08-03,Monsoon
82512,Kisan Superfast,Kolkata Howrah,Bhubaneswar,Kolkata Howrah → Bhubaneswar,2025-07-31 11:45:00,2025-07-31 12:55:00,2025-07-31 21:56:00,2025-07-31 23:01:00,70.0,Superfast,2025-07-31,Monsoon
76237,Gatimaan Express,Chennai Central,Madurai Junction,Chennai Central → Madurai Junction,2024-09-01 20:30:00,2024-09-01 20:46:00,2024-09-02 02:20:00,2024-09-02 02:40:00,16.0,Express,2024-09-01,Post-Monsoon
74042,Intercity Express,Bengaluru City,Mumbai Central,Bengaluru City → Mumbai Central,2025-05-13 19:15:00,2025-05-13 19:20:00,2025-05-14 13:25:00,2025-05-14 13:34:00,5.0,Express,2025-05-13,Summer
49117,Mail Express,Chennai Central,Bengaluru City,Chennai Central → Bengaluru City,2024-11-22 19:50:00,2024-11-22 20:08:00,2024-11-23 01:07:00,2024-11-23 01:24:00,18.0,Express,2024-11-22,Post-Monsoon
44438,AC Express Superfast,Pune Junction,Secunderabad,Pune Junction → Secunderabad,2024-07-29 22:00:00,2024-07-29 22:02:00,2024-07-30 10:15:00,2024-07-30 10:19:00,2.0,Superfast,2024-07-29,Monsoon
37460,Antyodaya Superfast,New Delhi,Lucknow Charbagh,New Delhi → Lucknow Charbagh,2024-10-03 06:50:00,2024-10-03 06:58:00,2024-10-03 12:42:00,2024-10-03 12:51:00,8.0,Superfast,2024-10-03,Post-Monsoon
38893,Uday Passenger,New Delhi,Kolkata Howrah,New Delhi → Kolkata Howrah,2024-12-22 05:45:00,2024-12-22 06:17:00,2024-12-22 22:44:00,2024-12-22 23:19:00,32.0,Passenger,2024-12-22,Winter
94012,Intercity Passenger,Ahmedabad Junction,Jaipur Junction,Ahmedabad Junction → Jaipur Junction,2024-07-10 22:25:00,2024-07-10 22:27:00,2024-07-11 15:11:00,2024-07-11 15:22:00,2.0,Passenger,2024-07-10,Monsoon
84341,Intercity Superfast,Varanasi Junction,New Delhi,Varanasi Junction → New Delhi,2025-10-27 14:10:00,2025-10-27 14:29:00,2025-10-27 20:15:00,2025-10-27 20:40:00,19.0,Superfast,2025-10-27,Post-Monsoon
71213,Jan Shatabdi Express,Mumbai Central,Nagpur Junction,Mumbai Central → Nagpur Junction,2024-12-28 11:10:00,2024-12-28 11:23:00,2024-12-28 19:27:00,2024-12-28 19:49:00,13.0,Express,2024-12-28,Winter
59823,Passenger Passenger,Chennai Central,Ernakulam Junction,Chennai Central → Ernakulam Junction,2025-03-08 16:10:00,2025-03-08 16:22:00,2025-03-09 10:54:00,2025-03-09 11:08:00,12.0,Passenger,2025-03-08,Summer
71213,Sampark Kranti Superfast,New Delhi,Lucknow Charbagh,New Delhi → Lucknow Charbagh,2025-02-18 17:55:00,2025-02-18 17:58:00,2025-02-18 20:32:00,2025-02-18 20:36:00,3.0,Superfast,2025-02-18,Winter
11504,Intercity Express,Mumbai Central,Bengaluru City,Mumbai Central → Bengaluru City,2024-12-10 13:50:00,2024-12-10 14:24:00,2024-12-10 23:45:00,2024-12-11 00:22:00,34.0,Express,2024-12-10,Winter
88104,Uday Passenger,Chennai Central,Hyderabad Deccan,Chennai Central → Hyderabad Deccan,2025-12-15 22:10:00,2025-12-15 22:23:00,2025-12-16 22:48:00,2025-12-16 23:10:00,13.0,Passenger,2025-12-15,Winter
93227,Antyodaya Passenger,Patna Junction,Lucknow Charbagh,Patna Junction → Lucknow Charbagh,2024-04-01 17:55:00,2024-04-01 18:16:00,2024-04-02 03:48:00,2024-04-02 04:08:00,21.0,Passenger,2024-04-01,Summer
44993,Vande Bharat Express,Ranchi,Kolkata Howrah,Ranchi → Kolkata Howrah,2024-08-07 07:30:00,2024-08-07 07:31:00,2024-08-07 17:51:00,2024-08-07 18:01:00,1.0,Express,2024-08-07,Monsoon
99593,Tejas Express,New Delhi,Dehradun,New Delhi → Dehradun,2024-01-26 09:25:00,2024-01-26 09:29:00,2024-01-26 20:20:00,2024-01-26 20:23:00,4.0,Express,2024-01-26,Winter
80686,Jan Shatabdi Express,Secunderabad,Vijayawada Junction,Secunderabad → Vijayawada Junction,2024-05-28 14:15:00,2024-05-28 14:34:00,2024-05-29 01:58:00,2024-05-29 02:26:00,19.0,Express,2024-05-28,Summer
46421,Uday Express,Hyderabad Deccan,Bengaluru City,Hyderabad Deccan → Bengaluru City,2024-07-01 06:30:00,2024-07-01 06:31:00,2024-07-01 21:46:00,2024-07-01 21:54:00,1.0,Express,2024-07-01,Monsoon
44973,Tejas Passenger,New Delhi,Lucknow Charbagh,New Delhi → Lucknow Charbagh,2025-05-09 20:15:00,2025-05-09 20:24:00,2025-05-10 16:50:00,2025-05-10 16:58:00,9.0,Passenger,2025-05-09,Summer
98039,Uday Superfast,Ernakulam Junction,Chennai Central,Ernakulam Junction → Chennai Central,2024-08-24 08:55:00,2024-08-24 09:46:00,2024-08-24 13:27:00,2024-08-24 14:16:00,51.0,Superfast,2024-08-24,Monsoon
65392,Vivek Passenger,Agra Cantt,New Delhi,Agra Cantt → New Delhi,2024-07-25 06:15:00,2024-07-25 06:22:00,2024-07-25 13:35:00,2024-07-25 13:46:00,7.0,Passenger,2024-07-25,Monsoon
38080,Intercity Express,Chennai Central,New Delhi,Chennai Central → New Delhi,2025-11-03 12:55:00,2025-11-03 13:01:00,2025-11-04 00:03:00,2025-11-04 00:19:00,6.0,Express,2025-11-03,Post-Monsoon
69638,Jan Shatabdi Express,New Delhi,Guwahati,New Delhi → Guwahati,2025-11-03 19:00:00,2025-11-03 19:26:00,2025-11-04 13:58:00,2025-11-04 14:30:00,26.0,Express,2025-11-03,Post-Monsoon
88907,Sampark Kranti Passenger,Varanasi Junction,New Delhi,Varanasi Junction → New Delhi,2025-06-02 05:35:00,2025-06-02 05:49:00,2025-06-03 03:44:00,2025-06-03 03:59:00,14.0,Passenger,2025-06-02,Monsoon
63883,Duronto Passenger,Kolkata Howrah,Patna Junction,Kolkata Howrah → Patna Junction,2025-11-23 06:35:00,2025-11-23 06:43:00,2025-11-23 18:07:00,2025-11-23 18:10:00,8.0,Passenger,2025-11-23,Post-Monsoon
13905,Rajdhani Passenger,Chennai Central,Hyderabad Deccan,Chennai Central → Hyderabad Deccan,2025-05-30 07:45:00,2025-05-30 07:45:00,2025-05-31 08:31:00,2025-05-31 08:39:00,0.0,Passenger,2025-05-30,Summer
22363,AC Express Passenger,Jaipur Junction,Ahmedabad Junction,Jaipur Junction → Ahmedabad Junction,2024-11-23 20:25:00,2024-11-23 20:35:00,2024-11-24 19:37:00,2024-11-24 19:48:00,10.0,Passenger,2024-11-23,Post-Monsoon
28373,Sampark Kranti Superfast,New Delhi,Chennai Central,New Delhi → Chennai Central,2025-11-09 17:45:00,2025-11-09 17:51:00,2025-11-09 21:06:00,2025-11-09 21:16:00,6.0,Superfast,2025-11-09,Post-Monsoon
28289,Kisan Express,New Delhi,Dehradun,New Delhi → Dehradun,2025-01-29 19:15:00,2025-01-29 19:25:00,2025-01-30 10:17:00,2025-01-30 10:28:00,10.0,Express,2025-01-29,Winter
21395,Passenger Passenger,Kanpur Central,Lucknow Charbagh,Kanpur Central → Lucknow Charbagh,2025-11-09 06:55:00,2025-11-09 06:57:00,2025-11-09 20:11:00,2025-11-09 20:20:00,2.0,Passenger,2025-11-09,Post-Monsoon
41571,Tejas Express,Ernakulam Junction,Chennai Central,Ernakulam Junction → Chennai Central,2025-04-12 05:00:00,2025-04-12 05:02:00,2025-04-12 15:51:00,2025-04-12 16:01:00,2.0,Express,2025-04-12,Summer
18675,Superfast Express,Ahmedabad Junction,Jaipur Junction,Ahmedabad Junction → Jaipur Junction,2025-12-18 21:45:00,2025-12-18 22:04:00,2025-12-19 03:57:00,2025-12-19 04:15:00,19.0,Express,2025-12-18,Winter
72296,Vande Bharat Passenger,Madurai Junction,Chennai Central,Madurai Junction → Chennai Central,2025-05-08 06:30:00,2025-05-08 06:50:00,2025-05-09 01:14:00,2025-05-09 01:33:00,20.0,Passenger,2025-05-08,Summer
46509,Vivek Passenger,Secunderabad,Vijayawada Junction,Secunderabad → Vijayawada Junction,2024-06-02 05:25:00,2024-06-02 06:04:00,2024-06-03 05:41:00,2024-06-03 06:21:00,39.0,Passenger,2024-06-02,Monsoon
93320,Gatimaan Express,New Delhi,Amritsar Junction,New Delhi → Amritsar Junction,2024-06-10 18:50:00,2024-06-10 18:57:00,2024-06-11 13:46:00,2024-06-11 14:03:00,,Express,2024-06-10,Monsoon
93227,Superfast Passenger,Ahmedabad Junction,Jaipur Junction,Ahmedabad Junction → Jaipur Junction,2024-09-05 17:10:00,2024-09-05 17:39:00,2024-09-06 12:35:00,2024-09-06 13:05:00,29.0,Passenger,2024-09-05,Post-Monsoon
